top200_Celf4_targets,top500_Celf4_targets,parikshak_2016_ctx.M4,parikshak_2016_ctx.M9,parikshak_2016_ctx.M10,parikshak_2016_ctx.M16,parikshak_2016_ctx.M19,parikshak_2016_ctx.M20,psychEncode_ASD_FDR<0.01,psychEncode_ASD_FDR<0.001,psychEncode_SCZ_FDR<10e-5,psychEncode_SCZ_FDR<10e-9,psychEncode_BD_FDR<0.01,psychEncode_BD_FDR<0.001,SFARI_ASD_Candidate,FMRP_targets_Darnell_2014,conserved_CHD8_promoters_Cotney_2015,CPEB4_binding_Parras_2018,Rbfox1_up_target_genes_Lee_2016,All_Rbfox1_regulated_genes_lee_2016,All_Rbfox1_3'UTR_targets_Lee_2016
,Snx25,,LHFPL1,,,,,ANKS6,,GHR,,,,,ZCCHC14,NSMCE4A,Fam120c,,Kctd12,Pcp4
,Soat1,,PAQR8,,,,,LYRM4,,RP1-249H1.4,,,,,TCF25,ACADSB,Ube2d2a,,8430427H17Rik,Pgm2l1
,Socs5,,S1PR1,,,,,HAP1,,CYTL1,,,,,NCOR1,IKZF5,Strbp,,Plxnc1,Pigk
,Sos1,,MTM1,,,,,ATP1A1,,KDM1A,,,,,SGSM2,IKZF5,Atp1b1,,Nynrin,Pkia
,Sp4,,APLN,,,,,RAB3IL1,,CD99,,,,,CLTC,FAM53B,Psmd11,,Crim1,Plcb1
,Sphkap,,MCC,,,,,DSC2,,RP11-318M2.2,,,,,GNAL,CTBP2,Sfrs18,,Fzd7,Ppp1r9a
,Ssh1,,SLC25A33,,,,,RP11-267C16.1,,PPIP5K2,,,,,MINK1,CTBP2,Eif2s3x,,Stxbp6,Ppp2ca
,Sstr1,,GATM,,,,,DPYSL3,,RHCG,,,,,RPTOR,LRRC27,Phf14,,Gja1,Prickle2
,Sstr2,,CYP4F11,,,,,SH2D7,,STEAP4,,,,,FOXK2,LRRC27,Rab11fip4,,Jun,Prl
,Strada,,LAMB2,,,,,NTN4,,SCRT1,,,,,MAPK4,PWWP2B,Shoc2,,Adam19,Psd3
,Stxbp5l,,KRCC1,,,,,GLS2,,,,,,,CACNA1A,RNH1,Ero1l,,Kitl,Ptplb
,Sybu,,SNTB1,,,,,FAM217B,,,,,,,BRD4,RNH1,Pik3ca,,Gng4,Ptpn5
,Syngr3,,ID4,,,,,RAB31,,,,,,,NFIC,POLR2L,Map4,,Chl1,Ptpre
,Synpr,,SUCLG2,,,,,MSN,,,,,,,APP,TSPAN4,Sbno1,,Ets1,Ptprz1
,Syp,,GNG12,,,,,MTMR3,,,,,,,DOPEY2,TSPAN4,Mib1,,Plch1,Rab2a
,Syt1,,FUT10,,,,,CYP26B1,,,,,,,LMTK3,TSPAN4,Sec11a,,Lypd6,Rab6b
,Syt10,,ZNF680,,,,,LRRTM3,,,,,,,RERE,TSPAN4,Rab14,,Nrbp2,Rac1
,Syt16,,RIMKLB,,,,,FOXJ1,,,,,,,PRKACB,AP2A2,Ptp4a2,,Fgf14,Rap1gds1
,Syt4,,DAG1,,,,,ITFG1,,,,,,,PTPRF,OSBPL5,Gria2,,Ogfod1,Reep1
,Tac1,,PPP1R14B,,,,,PLCB3,,,,,,,CELSR2,RPL27A,Bend6,,Pcyt1b,Rnf11
,Tbr1,,VEGFB,,,,,LINC00882,,,,,,,ATP1B1,SNORA3,Pafah1b1,,Mgat4b,Rnf165
,Timp2,,GOLIM4,,,,,CACNB4,,,,,,,DCAF6,TMEM9B,Cdc73,,Ttll7,Rragd
,Tmco1,,GNG5,,,,,HIST2H3PS2,,,,,,,KCNH1,TMEM9B-AS1,Dcun1d4,,Sv2b,Sema4f
,Tmed5,,MSRB3,,,,,ATP1B1,,,,,,,UBAP2L,IPO7,Slc7a11,,Ptk2b,Sema6b
,Tmed7,,IQCK,,,,,SEC14L5,,,,,,,CDC42BPA,LOC644656,Znrf2,,Nnat,Setd7
,Tmem130,,YES1,,,,,FGFR1,,,,,,,RHOB,ZNF143,Prox1,,Cxx1b,Skil
,Tmem151a,,VSIG10,,,,,RP11-766N7.3,,,,,,,AFF3,WEE1,Rhobtb3,,Mmp10,Slc22a23
,Tmem185b,,FIBIN,,,,,FAM212B,,,,,,,PKP4,WEE1,Rbms3,,Paqr9,Slc23a2
,Tmem214,,FZD8,,,,,FTSJ1,,,,,,,UBR3,EIF4G2,Gdi2,,Pvrl4,Slc35f1
,Tmem22,,KCNJ10,,,,,STON2,,,,,,,FAM171B,EIF4G2,Camk2d,,Casd1,Slc39a10
,Tmem237,,GRAMD1C,,,,,RREB1,,,,,,,PTPRG,ZBED5,Ndn,,Uchl5,Slc6a17
,Tmem30a,,SLC25A20,,,,,FEZ1,,,,,,,ANK2,LOC729013,Suco,,Wscd1,Slitrk4
,Tmem33,,GPC5,,,,,TMTC4,,,,,,,MYO10,USP47,Trim37,,Ppp2r3c,Sncb
,Tmem35,,CDC42EP4,,,,,PSD4,,,,,,,CPLX2,FAR1,7-Sep,,Ahsa1,Socs7
,Tmem56,,PIPOX,,,,,MCRS1,,,,,,,TTBK1,COPB1,Arl6ip1,,Galntl1,Spag9
,Tmem68,,SOCS4,,,,,OBFC1,,,,,,,MFHAS1,COPB1,Nkap,,Mlh3,Sparc
,Tpbg,,FGD6,,,,,C16orf45,,,,,,,ATP6V1B2,COPB1,Nfia,,Lrp12,Srebf2
,Tram1l1,,RNF182,,,,,BLVRA,,,,,,,ARHGAP39,PDE3B,Cyld,,Mylk,Sypl
,Trhde,,P2RY1,,,,,NRN1,,,,,,,NTRK2,PSMA1,Plp1,,Mib1,Syt13
,Trhr,,NQO1,,,,,MGARP,,,,,,,SEC16A,C11orf58,Dio2,,Syt2,Syt16
,Tril,,DHTKD1,,,,,TMEM179,,,,,,,CACNA1B,SAAL1,Pcnp,,Necab3,Syt2
,Trim23,,TMEM136,,,,,NFATC1,,,,,,,DGKZ,QSER1,Pdcd6ip,,Ggt7,Tardbp
,Trim27,,ZBTB20,,,,,ARFGEF2,,,,,,,PTPRJ,HIPK3,Spred1,,Pappa,Tbc1d30
,Trim32,,SLC2A4,,,,,HCG4P11,,,,,,,NCAM1,CAPRIN1,Zkscan8,,Nos1,Tceb1
,Trove2,,FAM181B,,,,,RP11-54O7.18,,,,,,,PLCH2,FJX1,S100pbp,,Sipa1l3,Tef
,Trpc5,,RAD51B,,,,,HMGB3P24,,,,,,,TAOK2,API5,Csde1,,Parva,Thra
,Tspyl4,,GLUD2,,,,,CLCN4,,,,,,,GRIN2B,TP53I11,Sfpq,,Rgs10,Tia1
,Ttbk2,,SLC25A18,,,,,GPD2,,,,,,,GPM6A,TP53I11,Seh1l,,Zfp275,Tmeff2
,Ubqln2,,PTTG1IP,,,,,FAM161A,,,,,,,DLG2,TP53I11,Tardbp,,Vps36,Tmem109
,Ugcg,,ZNRF3,,,,,PSMG3,,,,,,,ITPR1,TP53I11,Ranbp2,,Pdlim3,Tmem132a
,Unc5c,,FAM120C,,,,,AC114765.1,,,,,,,GPR158,TP53I11,Lpar1,,6430548M08Rik,Tmem170b
,Usp29,,LRTOMT,,,,,TBC1D14,,,,,,,UBE3B,PHF21A,Hsp90b1,,Snx19,Tmem183a
,Usp31,,HIST2H2AC,,,,,APOE,,,,,,,ANK3,MDK,Wnk1,,Sh3bgrl2,Tmem47
,Usp33,,ASAP3,,,,,LTBR,,,,,,,DLG5,MDK,Ttc3,,Stoml1,Tmem57
,Utrn,,METTL7A,,,,,EYA2,,,,,,,DIP2C,MDK,Idh1,,Smad3,Tmem87b
,Vgf,,DBX2,,,,,TBL1X,,,,,,,AKAP6,MDK,Tle4,,Nfyc,Tmem88b
,Vip,,ANKFY1,,,,,FBXW7,,,,,,,ATP5A1,MDK,Egr1,,Gpc1,Tmx3
,Wasf1,,CXorf38,,,,,TMEM38A,,,,,,,PFKM,AMBRA1,Uhmk1,,Pcdh11x,Tom1l2
,Wash,,NKAIN3,,,,,FANCM,,,,,,,SPARCL1,CKAP5,Tceb1,,Tanc1,Tppp
,Wbscr16,,PPARA,,,,,TMEM176B,,,,,,,PTPRD,LRP4-AS1,Cpeb3,,Arhgap36,Trhde
,Wdr44,,TMEM216,,,,,IFI6,,,,,,,SPHKAP,ARFGAP2,Galnt13,,Kcnh3,Tsc22d1
,Wfs1,,C3orf70,,,,,CD34,,,,,,,TRIP12,MTCH2,Ctnnb1,,L3mbtl3,Tspyl5
,Xk,,TEAD1,,,,,HIST1H2AG,,,,,,,JPH3,FNBP4,Ncor1,,Zfp189,Ttc14
,Xkr4,,PLCD1,,,,,,,,,,,,NRGN,PTPRJ,Med13l,,2700050L05Rik,Tyro3
,Xkr6,,CHPT1,,,,,,,,,,,,TNIK,LPXN,Pitpnb,,Smc1a,Ubfd1
,Yaf2,,TCEA1,,,,,,,,,,,,SORBS2,ZFP91,Itpa,,Upf2,Unc13a
,Zbtb41,,HIST1H1C,,,,,,,,,,,,PTPRN2,ZFP91-CNTF,Ccser2,,Shb,Unc5c
,Zbtb44,,NWD1,,,,,,,,,,,,SLC24A2,FADS2,Zcchc3,,Prrt3,Usp31
,Zc3h12b,,S100A16,,,,,,,,,,,,KIF5A,UBXN1,Ipo7,,D4Bwg0951e,Vps35
,Zcchc12,,PTAR1,,,,,,,,,,,,KCNMA1,BSCL2,Hltf,,Kcnk3,Wdr82
,Zdbf2,,S100A13,,,,,,,,,,,,TIAM1,HNRNPUL2,Amd1,,Mchr1,Ywhae
,Zdhhc17,,LIFR,,,,,,,,,,,,PCDH1,HNRNPUL2-BSCL2,Fundc1,,1600021P15Rik,Zdhhc20
,Zdhhc21,,MYBPC1,,,,,,,,,,,,HK1,TTC9C,Usp14,,Pmp2,Zfp365
,Zfhx4,,AKR1C3,,,,,,,,,,,,LHFPL4,RTN3,Ttc39b,,Arhgef15,Zic1
,Zfp142,,MAP3K5,,,,,,,,,,,,ATP2B2,C11orf95,Ppp2r5e,,Fat2,3-Sep
,Zfp238,,SLC2A10,,,,,,,,,,,,SLC6A1,C11orf84,NA,,Kcnt1,7-Sep
,Zfp281,,ELOVL2,,,,,,,,,,,,LRP8,MARK2,Atp2b1,,uc009plb-1,1700052N19Rik
,Zfp365,,SULT1C4,,,,,,,,,,,,SKI,RCOR2,Tsc22d1,,Cnnm2,2210016L21Rik
,Zfp608,,RPL23A,,,,,,,,,,,,AUTS2,BAD,Rac1,,Tacc1,2310016M24Rik
,Zfp672,,ASPH,,,,,,,,,,,,KCNB1,GPR137,NA,,Slc2a3,2510009E07Rik
,Zfpm2,,MT1F,,,,,,,,,,,,PINK1,GPR137,Vamp3,,Cdk17,2610002M06Rik
,Zic2,,ZNF480,,,,,,,,,,,,SYNJ1,GPR137,Swap70,,Actr10,2610101N10Rik
,Zxdb,,C2orf72,,,,,,,,,,,,SON,GPR137,AU019823,,Gaa,2610524H06Rik
,,,BTBD17,,,,,,,,,,,,SV2A,GPR137,Dab1,,Dclk1,2700089E24Rik
,,,,,,,,,,,,,,,ATP13A2,SF1,6330509M05Rik,,C80913,2900011O08Rik
,,,MT1M,,,,,,,,,,,,CTBP1,SF1,Rsrc2,,Pak3,3110035E14Rik
,,,C8orf82,,,,,,,,,,,,ATP6V0D1,SF1,Bmpr1a,,Socs7,4833424O15Rik
,,,,,,,,,,,,,,,ABR,NEAT1,Rims2,,Arhgap32,4933407C03Rik
,,,LINC00478,,,,,,,,,,,,ARHGAP35,MALAT1,Pdcd10,,Hrk,5730403B10Rik
,,,PPP1R3G,,,,,,,,,,,,KALRN,LOC254100,Eef1a1,,Tbc1d30,5730409E04Rik
,,,SOX21-AS1,,,,,,,,,,,,ABCG1,SSSCA1,Pwp1,,Dlgap4,6330403A02Rik
,,,EMX2OS,,,,,,,,,,,,AGPAT3,FAM89B,Vopp1,,Sms,6330403K07Rik
,,,,,,,,,,,,,,,TRAPPC10,AP5B1,Ogfrl1,,AK141638,6330439K17Rik
,,,,,,,,,,,,,,,RALGDS,C11orf68,Pkn2,,Gm5151,6330503K22Rik
,,,RNF219-AS1,,,,,,,,,,,,DIP2A,DRAP1,Tpr,,Rsph4a,6430704M03Rik
,,,,,,,,,,,,,,,ZER1,BANF1,Trim2,,Abhd3,8030462N17Rik
,,,STOX1,,,,,,,,,,,,BRSK1,EIF1AD,Stam,,Ralb,9330159F19Rik
,,,CD302,,,,,,,,,,,,TAOK1,SF3B2,Ndfip1,,Rnf112,Aak1
,,,TMEM100,,,,,,,,,,,,RUSC1,KLC2,Celf4,,Adss,Abat
,,,ALDH1L1-AS2,,,,,,,,,,,,CELF5,KLC2,Ccnd2,,Slc36a1,Abcg1
,,,,,,,,,,,,,,,SHANK1,KLC2,Mtpn,,Serpina3n,Abhd12
,,,SLC7A11-AS1,,,,,,,,,,,,SHANK2,KLC2,Ankrd10,,Gfra2,Abhd13
,,,,,,,,,,,,,,,JAK1,RAB1B,Capn7,,Synj2,Abi1
,,,,,,,,,,,,,,,CAMK2N1,DPP3,Smek1,,Lipo1,Abr
,,,ZFHX4-AS1,,,,,,,,,,,,FBXO41,RBM4,Paip2,,Pdcd10,Acsl4
,,,,,,,,,,,,,,,HIPK1,LRFN4,Synpr,,Mbtps1,Actb
,,,ZNF260,,,,,,,,,,,,ATP1A1,KDM2A,D3Ertd547e,,Arhgap33,Actr1b
,,,MAOA,,,,,,,,,,,,CLASP2,SUV420H1,Etnk1,,Ints7,Actr2
,,,LGR4,,,,,,,,,,,,CADPS,PPP6R3,Pcgf5,,Spns2,Acvr1c
,,,,,,,,,,,,,,,WDFY3,FCHSD2,Mgea5,,Cdh12,Acvr2a
,,,,,,,,,,,,,,,PRICKLE2,MRPL48,Snx10,,Endogl1,Adap1
,,,ARHGAP5-AS1,,,,,,,,,,,,GRIK3,SPCS2,Map3k5,,Vat1l,Adarb1
,,,,,,,,,,,,,,,BAP1,XRRA1,Utp15,,2610044O15Rik,Adcyap1r1
,,,,,,,,,,,,,,,PLXNB1,TPBGL,Glcci1,,Pvt1,Afap1
,,,,,,,,,,,,,,,BSN,KLHL35,Fus,,Nlgn3,Agfg1
,,,LRRC37A16P,,,,,,,,,,,,STXBP5,AAMDC,Msl1,,Fntb,Agtpbp1
,,,,,,,,,,,,,,,LMTK2,RSF1,Atf2,,Npnt,Ahcyl1
,,,,,,,,,,,,,,,DLC1,CREBZF,Jmy,,1810041L15Rik,AI597468
,,,,,,,,,,,,,,,ADCY1,PANX1,Dram2,,Tmsb10,Ak5
,,,,,,,,,,,,,,,OXR1,AASDHPPT,Aplp2,,Ngfr,Akap5
,,,,,,,,,,,,,,,INTS1,KBTBD3,Rab2b,,Chn2,Akt3
,,,,,,,,,,,,,,,DIRAS2,CUL5,Trim32,,Dio2,Als2
,,,,,,,,,,,,,,,WNK2,ZC3H12C,Ssh1,,Hmgb3,Ambra1
,,,,,,,,,,,,,,,SLITRK5,RDX,Rit2,,Nipsnap3b,Amfr
,,,,,,,,,,,,,,,FAT3,ALG9,4930423O20Rik,,Rnd3,Amigo1
,,,,,,,,,,,,,,,PGM2L1,ALG9,Hnrnph1,,Ahr,Ank3
,,,,,,,,,,,,,,,PDZD8,ALG9,Pitpnc1,,Sall3,Ankrd43
,,,,,,,,,,,,,,,NSD1,DLAT,Cnksr2,,Nrp2,Ankrd46
,,,,,,,,,,,,,,,SALL2,BUD13,Srsf6,,Col3a1,Ap1ar
,,,,,,,,,,,,,,,ZFYVE1,SIDT2,Sgpp2,,Col19a1,Ap1s2
,,,,,,,,,,,,,,,SPRED1,MLL,Sox4,,Gabrr1,Ap3m2
,,,,,,,,,,,,,,,CKB,DDX6,2610301B20Rik,,Fam126a,Apc
,,,,,,,,,,,,,,,APBB1,DDX6,Ahcyl1,,E230008N13Rik,Appl1
,,,,,,,,,,,,,,,ATMIN,DPAGT1,Rbfox2,,Capn5,Arf3
,,,,,,,,,,,,,,,PRKCB,PVRL1,Arf6,,Kdm1b,Arf5
,,,,,,,,,,,,,,,NAV2,ARHGEF12,Zdhhc2,,St8sia4,Arhgap32
,,,,,,,,,,,,,,,MAP1A,MIR125B1,Lrrc40,,Rnf182,Arhgdia
,,,,,,,,,,,,,,,TEF,HSPA8,Haus2,,Fzd5,Arih1
,,,,,,,,,,,,,,,ANKRD11,LINC00167,Kif2a,,Vtcn1,Arl4a
,,,,,,,,,,,,,,,CACNB3,PRDM10,Pcmt1,,B3gnt2,Arl5b
,,,,,,,,,,,,,,,TTYH1,CCDC77,Igfbp4,,Mlxip,Armc1
,,,,,,,,,,,,,,,EEF2,KDM5A,Suv420h1,,Peg10,Astn1
,,,,,,,,,,,,,,,KIFC2,WNK1,Naa35,,Clcn4-2,Atad1
,,,,,,,,,,,,,,,MGAT5B,RAD52,Kcnip4,,Tph2,Atg9a
,,,,,,,,,,,,,,,CASKIN1,ERC1,Dixdc1,,Kcnab3,Atl1
,,,,,,,,,,,,,,,ABCA3,FBXL14,Tspyl1,,Pcmt1,Atl2
,,,,,,,,,,,,,,,SRRM2,FKBP4,NA,,Wif1,Atl3
,,,,,,,,,,,,,,,SETD5,ITFG2,Eny2,,Crhbp,Atp1b3
,,,,,,,,,,,,,,,KIF5C,NDUFA9,Scn2a1,,Pde1b,Atp5a1
,,,,,,,,,,,,,,,PHYHIP,GAPDH,Dnm1l,,Grm8,Atp5j2
,,,,,,,,,,,,,,,GRM5,GAPDH,Eif1ax,,Rab27b,Atp6ap1
,,,,,,,,,,,,,,,CPLX1,ZNF384,NA,,2010300C02Rik,Atp7a
,,,,,,,,,,,,,,,CPT1C,ZNF384,Tbcel,,Cd55,Atxn7l1
,,,,,,,,,,,,,,,XPO6,MLF2,Rapgef4,,Acvr1c,Atxn7l3
,,,,,,,,,,,,,,,GPRIN1,MLF2,Tsc22d2,,Tmem56,Atxn7l3b
,,,,,,,,,,,,,,,PTK2,PTMS,Dtna,,2900024C23Rik,AW549877
,,,,,,,,,,,,,,,ZEB2,ATN1,Rps6ka5,,Hsph1,Azi2
,,,,,,,,,,,,,,,FASN,ATN1,Cab39,,Dkk3,Azin1
,,,,,,,,,,,,,,,LINGO1,PEX5,Ankrd17,,Cul5,B3galt1
,,,,,,,,,,,,,,,PCDH7,PEX5,Hspa4,,Lysmd2,B3gat1
,,,,,,,,,,,,,,,CTNND2,PEX5,Snrpd3,,Galnt9,B3gnt2
,,,,,,,,,,,,,,,FRMPD4,RIMKLB,Ugp2,,B3galt2,Bag4
,,,,,,,,,,,,,,,NLGN2,LOC100129361,Tomm20,,6330503K22Rik,Banf1
,,,,,,,,,,,,,,,CHD3,PRH1-PRR4,NA,,Tmem63c,BC024659
,,,,,,,,,,,,,,,YWHAG,ETV6,Fam76b,,Htr2a,Bcl11b
,,,,,,,,,,,,,,,LRRN2,LRP6,Cdh2,,Lysmd3,Bcl7a
,,,,,,,,,,,,,,,RALGAPB,CREBL2,,,Prickle1,Bcl7b
,,,,,,,,,,,,,,,NPAS2,APOLD1,,,Susd4,Bdnf
,,,,,,,,,,,,,,,DLGAP1,C12orf60,,,Ptpn3,Bend6
,,,,,,,,,,,,,,,USP6,WBP11,,,Gpr26,Bex2
,,,,,,,,,,,,,,,TANC2,AEBP2,,,Mat2b,Bhlhe22
,,,,,,,,,,,,,,,PRKCE,AEBP2,,,Kcnj6,Bicd1
,,,,,,,,,,,,,,,TPPP,AEBP2,,,Lmod3,Bod1l
,,,,,,,,,,,,,,,CDK5R2,MRPS35,,,Pid1,Bri3bp
,,,,,,,,,,,,,,,DSCAM,KLHL42,,,Yod1,Btbd1
,,,,,,,,,,,,,,,CLSTN1,DENND5B,,,Fam150b,Btf3l4
,,,,,,,,,,,,,,,ENC1,DENND5B-AS1,,,Pgpep1,C530008M17Rik
,,,,,,,,,,,,,,,BPTF,KIAA1551,,,Kndc1,C80913
,,,,,,,,,,,,,,,ATF7IP,YARS2,,,Ppp1r17,Cables2
,,,,,,,,,,,,,,,CAMTA1,ARID2,,,Tyrp1,Cacna1c
,,,,,,,,,,,,,,,KNDC1,LOC400027,,,Kif19a,Cacng2
,,,,,,,,,,,,,,,PTEN,SCAF11,,,P4ha2,Cadm1
,,,,,,,,,,,,,,,TLN2,SLC38A1,,,Gdpd2,Camk2d
,,,,,,,,,,,,,,,SYNPO,HDAC7,,,Dcakd,Camkv
,,,,,,,,,,,,,,,C2CD2L,PFKM,,,Lrrc16a,Camsap1l1
,,,,,,,,,,,,,,,ARNT2,SENP1,,,Htr1a,Cand1
,,,,,,,,,,,,,,,HCFC1,SENP1,,,Olfm4,Caprin1
,,,,,,,,,,,,,,,RASGRP1,CCNT1,,,Shisa9,Casd1
,,,,,,,,,,,,,,,NBEA,DIP2B,,,Rogdi,Cbfa2t2
,,,,,,,,,,,,,,,ARPP21,ATF1,,,Calcoco1,Ccar1
,,,,,,,,,,,,,,,ADRBK1,SP1,,,Atat1,Ccdc112
,,,,,,,,,,,,,,,ADCY5,SP1,,,Trim8,Ccdc85a
,,,,,,,,,,,,,,,TNKS,SP1,,,Cpeb1,Ccdc88a
,,,,,,,,,,,,,,,STOX2,PCBP2,,,Arl8a,Ccnd2
,,,,,,,,,,,,,,,CNP,MAP3K12,,,Slc35a3,Ccng2
,,,,,,,,,,,,,,,SPTBN2,TARBP2,,,Ppap2b,Ccnt2
,,,,,,,,,,,,,,,PRPF8,TARBP2,,,Pdpn,Cct6a
,,,,,,,,,,,,,,,ZHX3,ATP5G2,,,Slc6a11,Cd24a
,,,,,,,,,,,,,,,RALGAPA1,CBX5,,,Vwa3a,Cdc42se2
,,,,,,,,,,,,,,,ATP2A2,HNRNPA1,,,Anks4b,Cdk16
,,,,,,,,,,,,,,,BRSK2,HNRNPA1P10,,,Tlr3,Cdk17
,,,,,,,,,,,,,,,SEZ6L2,RPS26,,,Mmp2,Cdk19
,,,,,,,,,,,,,,,CHST2,SMARCC2,,,Gpr56,Cdkn1b
,,,,,,,,,,,,,,,PACS1,ANKRD52,,,Prkar2a,Cds2
,,,,,,,,,,,,,,,PPM1E,PTGES3,,,Pygo1,Celsr2
,,,,,,,,,,,,,,,CKAP5,NACA,,,Tubg1,Cend1
,,,,,,,,,,,,,,,MED16,NACA,,,Aldh5a1,Cept1
,,,,,,,,,,,,,,,NR2F1,NDUFA4L2,,,Cdh8,Cfl2
,,,,,,,,,,,,,,,UBE2O,B4GALNT1,,,Kirrel2,Chic1
,,,,,,,,,,,,,,,CDK5R1,B4GALNT1,,,Ppm1k,Chn2
,,,,,,,,,,,,,,,GRIN1,TSFM,,,Sema6c,Ckap5
,,,,,,,,,,,,,,,ULK1,CTDSP2,,,Rap1gap2,Clasp2
,,,,,,,,,,,,,,,KCNA2,USP15,,,Megf9,Clip3
,,,,,,,,,,,,,,,PPFIA3,C12orf61,,,Daam2,Clock
,,,,,,,,,,,,,,,PLEC,MIRLET7I,,,Trpc5,Clta
,,,,,,,,,,,,,,,TMEM151B,SRGAP1,,,Cir1,Cmpk1
,,,,,,,,,,,,,,,WDR6,CAND1,,,Tmem130,Cmtm6
,,,,,,,,,,,,,,,PER1,CPSF6,,,1110002B05Rik,Cnksr2
,,,,,,,,,,,,,,,MAGED1,CCT2,,,Gprin3,Cnnm2
,,,,,,,,,,,,,,,TMEM151A,CCT2,,,Hepacam,Cnrip1
,,,,,,,,,,,,,,,PTPN11,MIR3913-1,,,Frat2,Cntn3
,,,,,,,,,,,,,,,PACS2,ZFC3H1,,,Gng7,Copg
,,,,,,,,,,,,,,,R3HDM2,THAP2,,,Nhlh2,Cpne5
,,,,,,,,,,,,,,,NRXN1,ATXN7L3B,,,Slc29a4,Cpsf2
,,,,,,,,,,,,,,,TSHZ1,ZDHHC17,,,Islr2,Cpsf6
,,,,,,,,,,,,,,,MED14,UBE2N,,,Arhgap20,Crk
,,,,,,,,,,,,,,,NRIP1,FGD6,,,Plxnb1,Crmp1
,,,,,,,,,,,,,,,EHMT1,VEZT,,,Zfp811,Crtc1
,,,,,,,,,,,,,,,POLR2A,CDK17,,,Zbtb16,Csrnp3
,,,,,,,,,,,,,,,AATK,TMPO,,,B3galt5,Ctnnd2
,,,,,,,,,,,,,,,DDN,TMPO-AS1,,,Alg10b,Cxcl14
,,,,,,,,,,,,,,,PLCB1,UHRF1BP1L,,,Rab7,Cygb
,,,,,,,,,,,,,,,TTC3,NUAK1,,,Dynlt1b,D230025D16Rik
,,,,,,,,,,,,,,,AP2A2,C12orf23,,,2900092D14Rik,D730040F13Rik
,,,,,,,,,,,,,,,SLC8A1,USP30,,,Bcl6b,Dagla
,,,,,,,,,,,,,,,GRIN2A,MMAB,,,Uhrf1,Dcaf12l1
,,,,,,,,,,,,,,,EP400,MVK,,,Col18a1,Dcp2
,,,,,,,,,,,,,,,CBX6,TCHP,,,Zim1,Dcx
,,,,,,,,,,,,,,,DENND5A,TCHP,,,Dbf4,Ddit4
,,,,,,,,,,,,,,,KCNQ3,ATP2A2,,,Lcp2,Ddx1
,,,,,,,,,,,,,,,PCDH9,ANAPC7,,,Mob3a,Dek
,,,,,,,,,,,,,,,KCND2,PPP1CC,,,Nes,Dgcr2
,,,,,,,,,,,,,,,DUSP8,ATXN2,,,Bcan,Dhdds
,,,,,,,,,,,,,,,PDE4B,MAPKAPK5-AS1,,,Ndrg1,Dhx9
,,,,,,,,,,,,,,,KCNH7,MAPKAPK5,,,Mthfd2,Diras2
,,,,,,,,,,,,,,,5-Sep,NAA25,,,Chfr,Dixdc1
,,,,,,,,,,,,,,,,DDX54,,,Rnf5,Dkk3
,,,,,,,,,,,,,,,NAT8L,C12orf52,,,Fam163a,Dlg2
,,,,,,,,,,,,,,,PTCH1,MED13L,,,Odz1,Dlg3
,,,,,,,,,,,,,,,IRS2,MSI1,,,Nkap,Dlg4
,,,,,,,,,,,,,,,PIP5K1C,UNC119B,,,Ttll12,Dlgap4
,,,,,,,,,,,,,,,BCL9L,ANAPC5,,,Gsdma2,Dmwd
,,,,,,,,,,,,,,,MKL2,LOC338799,,,Ada,Dnaja1
,,,,,,,,,,,,,,,PCLO,SETD1B,,,Slc6a15,Dnajb4
,,,,,,,,,,,,,,,RGS7BP,HPD,,,Lama2,Dnmt3a
,,,,,,,,,,,,,,,MYT1L,PSMD9,,,H2afy2,Dusp7
,,,,,,,,,,,,,,,PDE2A,BCL7A,,,X99384,Dut
,,,,,,,,,,,,,,,BCR,CLIP1,,,Slc16a7,Dync1i1
,,,,,,,,,,,,,,,TSPYL4,RSRC2,,,Ddc,Dync1i2
,,,,,,,,,,,,,,,MAGI2,KNTC1,,,Cpm,Dynll2
,,,,,,,,,,,,,,,UBQLN2,OGFOD2,,,Csrp2,Eef1a2
,,,,,,,,,,,,,,,NWD1,CDK2AP1,,,Theg,Egr1
,,,,,,,,,,,,,,,AGRN,CDK2AP1,,,Rasgef1c,Egr3
,,,,,,,,,,,,,,,RELN,CDK2AP1,,,Rrm2,Eif1a
,,,,,,,,,,,,,,,ARID2,CDK2AP1,,,Ccl11,Eif2c1
,,,,,,,,,,,,,,,PTPRT,CDK2AP1,,,Itgb3,Eif4h
,,,,,,,,,,,,,,,FAT4,TMED2,,,Usp43,Elmo2
,,,,,,,,,,,,,,,SRGAP3,CCDC92,,,Coch,Elp3
,,,,,,,,,,,,,,,NLGN3,ZNF664,,,Prkch,Enc1
,,,,,,,,,,,,,,,TRRAP,ZNF664-FAM101A,,,1700001L19Rik,Endod1
,,,,,,,,,,,,,,,IPO4,NCOR2,,,Trip13,Epb4.1
,,,,,,,,,,,,,,,NCOR2,MIR5188,,,Srd5a1,Epb4.1l1
,,,,,,,,,,,,,,,MYO18A,UBC,,,Elovl7,Epha5
,,,,,,,,,,,,,,,MAN2A2,RAN,,,Slc7a8,Epm2aip1
,,,,,,,,,,,,,,,TCF4,SFSWAP,,,Dnahc5,Eps15
,,,,,,,,,,,,,,,NF1,EP400,,,Stk3,Erc2
